Country,Population
Australia,24.99286
Austria,8.837707
Belgium,11.40374
Canada,37.058856
Czechia,10.62643
Denmark,5.789957
Finland,5.515525
France,66.941698
Germany,82.914191
Greece,10.725886
Hungary,9.7676
Iceland,0.352722
Ireland,4.857015
Italy,60.421797
Japan,126.44318
Republic of Korea,51.635256
Luxembourg,0.60795
Mexico,125.327797
Netherlands,17.231622
New Zealand,4.8855
Norway,5.311916
Poland,38.413139
Portugal,10.283822
Slovakia,5.446771
Spain,46.733038
Sweden,10.175214
Switzerland,8.513227
Turkey,81.407211
The United Kingdom,66.43555
United States of America,327.167434
Brazil,208.4949
Chile,18.751405
Colombia,49.83424
Estonia,1.321977
Israel,8.872943
Russia,144.491104
Slovenia,2.07005
China,1415.045928
India,1354.051854
Indonesia,265.0153
South Africa,57.725606
Latvia,1.92717
Argentina,44.494502
Bulgaria,7.025037
Costa Rica,5.003402
Croatia,4.080666
Cyprus,0.869006
Liechtenstein,2.801541
Malta,0.483793
Romania,19.471332
Saudi Arabia,33.41366
Singapore,3.994283
